start,end,outdated,outdated,outdated,team_code,drain_number,location,lat,long,alt,accuracy,date_time,record_consent,use_consent,outdated,name_occupation,lived_years,flood_history,outdated,outdated,outdated,flood_height,flood_level_pic,kobo_link,last_flooded,flood_clear,desiliting,desilting_other,last_cleaned,last_cleaned_other,maintenance,activities,public_health,specify,other _info,,audio,audio,audio,,,,,,,,,,,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Every 6 months,,More than 6 months,,Do not know,,,,,OK,,,,677290602,e6c3b87a-3f08-427d-8a1a-9ffe32598f85,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:e6c3b87a-3f08-427d-8a1a-9ffe32598f85,106,RN223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Every 6 months,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,677290607,b0de5c70-038b-4141-9851-34cb4b569ba5,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:b0de5c70-038b-4141-9851-34cb4b569ba5,107,RN223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Every 6 months,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,677290614,bb395b70-4688-41ee-bb63-ded1bd136827,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:bb395b70-4688-41ee-bb63-ded1bd136827,108,RN223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Every 6 months,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,677290622,05445034-ad08-4bc8-ac60-20c43d17feff,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:05445034-ad08-4bc8-ac60-20c43d17feff,109,RN223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,,,,,,,,,,,,Yes,1,0,0,6-10 inches,,,,,Every 6 months,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,677290702,fd3586d2-6698-422f-87f8-5497196546b2,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:fd3586d2-6698-422f-87f8-5497196546b2,110,RN223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A28,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Cannot find info.,,2-6 months back,,Do not know,,,,,OK,,,,677300419,534c8b79-9183-4d6a-9a50-639d54617e2a,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:534c8b79-9183-4d6a-9a50-639d54617e2a,111,MD355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,,,,,,,,,,,,Yes,1,0,0,2-5 inches,,,,,Cannot find info.,,Cannot find info.,,No one,,,,,OK,,,,677564603,be6337e9-d441-40d8-9963-1a2b765d93d3,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:be6337e9-d441-40d8-9963-1a2b765d93d3,112,RN223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Do not know,,Cannot find info.,,No one,,,,,OK,,,,677564946,b189b8e0-b2c1-44b4-822a-816e3625ba5e,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:b189b8e0-b2c1-44b4-822a-816e3625ba5e,113,RN223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-02-2026,19-02-2026,,,"Yes, I feel safe to conduct audit",A12,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Do not know,,Cannot find info.,,Do not know,,,,,OK,,,,677746907,544692aa-70c5-47a5-b644-7fac1fff3f01,23-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:544692aa-70c5-47a5-b644-7fac1fff3f01,114,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-02-2026,23-02-2026,,,"Yes, I feel safe to conduct audit",A15,,,,,,,,,,,,,No,0,1,0,6-10 inches,,,,,Cannot find info.,,More than 6 months,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,677760781,ea9ae0ab-042b-4b0e-9913-3e150002936f,23-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:ea9ae0ab-042b-4b0e-9913-3e150002936f,115,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-02-2026,23-02-2026,,,"Yes, I feel safe to conduct audit",A15,,,,,,,,,,,,,No,0,1,0,2-5 inches,,,,,Once a year,,More than 6 months,,Private,,,,,OK,,,,677760785,21761610-08cf-4014-ae87-a659d8353db2,23-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:21761610-08cf-4014-ae87-a659d8353db2,116,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-02-2026,23-02-2026,,,"Yes, I feel safe to conduct audit",A15,,,,,,,,,,,,,No,0,1,0,2-5 inches,,,,,Every 6 months,,More than 6 months,,Do not know,,,,,OK,,,,677760788,35b2cc43-fbb3-483a-85d6-554360633e53,23-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:35b2cc43-fbb3-483a-85d6-554360633e53,117,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-02-2026,23-02-2026,,,"Yes, I feel safe to conduct audit",A15,,,,,,,,,,,,,No,0,1,0,Upto  1 inch,,,,,Once a year,,More than 6 months,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,677760792,da6be8e6-36b6-47dc-aa03-af7abfb426f9,23-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:da6be8e6-36b6-47dc-aa03-af7abfb426f9,118,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-02-2026,23-02-2026,,,"Yes, I feel safe to conduct audit",A15,,,,,,,,,,,,,No,0,1,0,2-5 inches,,,,,Once a year,,More than 6 months,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,677760795,c80a9cc9-ef6b-45f1-be5c-69f6526aa33b,23-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:c80a9cc9-ef6b-45f1-be5c-69f6526aa33b,119,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,23-02-2026,,,"Yes, I feel safe to conduct audit",A20,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Every 6 months,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,677977535,9fbeab25-be98-45e0-8ad1-85f1d8017346,23-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:9fbeab25-be98-45e0-8ad1-85f1d8017346,120,H300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,21-02-2026,,,,A14,,,,,,,,,,,,,Yes,1,0,1,2-5 inches,,,,,Do not know,,Cannot find info.,,Do not know,,,,,OK,,,,678044849,cd638a86-d092-4120-b346-5cea1ebe160d,23-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:cd638a86-d092-4120-b346-5cea1ebe160d,121,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,21-02-2026,,,"Yes, I feel safe to conduct audit",A14,,,,,,,,,,,,,Yes,1,0,0,Cannot find info. ,,,,,Do not know,,More than 6 months,,Do not know,,,,,OK,,,,678045206,411993f8-c14b-4f47-b455-c98e56125090,23-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:411993f8-c14b-4f47-b455-c98e56125090,122,C100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2026,01-03-2026,,,"Yes, I feel safe to conduct audit",A30,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Once a year,,More than 6 months,,Do not know,,,,,OK,,,,682991174,71547278-8326-4974-8465-d8f6f5d679e8,01-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:71547278-8326-4974-8465-d8f6f5d679e8,123,unknown146,unknown146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2026,01-03-2026,,,"Yes, I feel safe to conduct audit",A30,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Do not know,,More than 6 months,,Do not know,,,,,OK,,,,682994895,92a01cd5-970e-4213-9848-88c6f2574f19,01-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:92a01cd5-970e-4213-9848-88c6f2574f19,124,unknown146,unknown146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2026,01-03-2026,,,"Yes, I feel safe to conduct audit",A30,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Do not know,,More than 6 months,,Do not know,,,,,OK,,,,682997252,ad4029e0-6881-4a6c-b69c-3ae425af6ab8,01-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:ad4029e0-6881-4a6c-b69c-3ae425af6ab8,125,unknown146,unknown146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2026,01-03-2026,,,"Yes, I feel safe to conduct audit",A30,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Do not know,,More than 6 months,,Do not know,,,,,OK,,,,682999569,25352fa9-7ef2-4402-ad07-941d2ac55dd4,01-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:25352fa9-7ef2-4402-ad07-941d2ac55dd4,126,unknown146,unknown146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2026,01-03-2026,,,"Yes, I feel safe to conduct audit",A30,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Do not know,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,683004556,6d67a90d-4e3f-4324-9b66-046684c691a1,01-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:6d67a90d-4e3f-4324-9b66-046684c691a1,127,unknown146,unknown146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2026,01-03-2026,,,"Yes, I feel safe to conduct audit",A30,,,,,,,,,,,,,No,0,1,0,6-10 inches,,,,,Once a year,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,683005922,daa7c23e-af5c-4042-a2ff-42c87f153f0d,01-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:daa7c23e-af5c-4042-a2ff-42c87f153f0d,128,unknown146,unknown146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2026,01-03-2026,,,"Yes, I feel safe to conduct audit",A30,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Do not know,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,683008802,f15d29dc-0648-4d24-b983-f78f22967bfb,01-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:f15d29dc-0648-4d24-b983-f78f22967bfb,129,unknown146,unknown146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2026,01-03-2026,,,"Yes, I feel safe to conduct audit",A30,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Once a year,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,683010241,26958f85-a493-4323-963f-c8e3d6c7bc3d,01-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:26958f85-a493-4323-963f-c8e3d6c7bc3d,130,unknown146,unknown146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2026,01-03-2026,,,"Yes, I feel safe to conduct audit",A30,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Once a year,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,683012194,561d0602-4d49-45a6-9c86-673e356aaedc,01-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:561d0602-4d49-45a6-9c86-673e356aaedc,131,unknown146,unknown146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-03-2026,10-03-2026,,,"Yes, I feel safe to conduct audit",A32,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Do not know,,Cannot find info.,,No one,,,,,OK,,,,692055370,5832c4d3-8104-489e-9c53-5929db1a2e54,10-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:5832c4d3-8104-489e-9c53-5929db1a2e54,132,MD379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-03-2026,10-03-2026,,,"Yes, I feel safe to conduct audit",A32,,,,,,,,,,,,,Yes,1,0,0,6-10 inches,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,692059755,297004f5-f7a5-462e-9d85-2218af31b907,10-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:297004f5-f7a5-462e-9d85-2218af31b907,133,MD379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-03-2026,11-03-2026,,,"Yes, I feel safe to conduct audit",A32,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Do not know,,Cannot find info.,,Do not know,,,,,OK,,,,693400428,dbc74f10-b12d-46e9-8463-2d62ba48a92a,11-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:dbc74f10-b12d-46e9-8463-2d62ba48a92a,134,MD379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-03-2026,11-03-2026,,,"Yes, I feel safe to conduct audit",A32,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Do not know,,Cannot find info.,,Do not know,,,,,OK,,,,693402161,dafdd0c0-cf6c-4231-baad-2d5a8296dacf,11-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:dafdd0c0-cf6c-4231-baad-2d5a8296dacf,135,MD379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2026,21-03-2026,,,"Yes, I feel safe to conduct audit",A35,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Once a year,,More than 6 months,,Do not know,,,,,OK,,,,702732579,95ac2698-ef62-479b-a48c-f79604b9c53f,21-03-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:95ac2698-ef62-479b-a48c-f79604b9c53f,136,H400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2026,21-03-2026,,,"Yes, I feel safe to conduct audit",A35,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Do not know,,More than 6 months,,Do not know,,,,,OK,,,,702732721,12c7f9da-1644-4140-b5b6-5158bc5897ea,21-03-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:12c7f9da-1644-4140-b5b6-5158bc5897ea,137,H400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A36,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,709246060,f58905bd-2d52-42df-af87-8230cf124456,28-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:f58905bd-2d52-42df-af87-8230cf124456,138,K208,K208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A36,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Once a year,,Cannot find info.,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,709246068,f6247cbb-2dba-4cb9-b80f-6b8e1e20430a,28-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:f6247cbb-2dba-4cb9-b80f-6b8e1e20430a,139,K208,K208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A36,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Once a year,,More than 6 months,,No one,,,,,OK,,,,709246071,afe4e7ed-4653-4d72-88e6-27defb635121,28-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:afe4e7ed-4653-4d72-88e6-27defb635121,140,K208,K208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A36,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Do not know,,Cannot find info.,,Do not know,,,,,OK,,,,709246073,f44d0db4-9513-4e66-b46f-0389296b1dbf,28-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:f44d0db4-9513-4e66-b46f-0389296b1dbf,141,K208,K208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A36,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Cannot find info.,,More than 6 months,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,709246075,b7fe0af3-441c-405b-8882-490ce9197c90,28-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:b7fe0af3-441c-405b-8882-490ce9197c90,142,K207,K207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A36,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Do not know,,Cannot find info.,,Do not know,,,,,OK,,,,709246078,7f4d167b-cce2-430d-83ac-1a7113ec9b4e,28-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:7f4d167b-cce2-430d-83ac-1a7113ec9b4e,143,K207,K207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A36,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,709246079,79d098d5-6ac7-43ab-ba30-90e2ca735d63,28-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:79d098d5-6ac7-43ab-ba30-90e2ca735d63,144,K207,K207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A36,,,,,,,,,,,,,No,0,1,0,Does not flood,,,,,Every 6 months,,2-6 months back,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,709246080,5cedd7cd-35f2-4368-a903-7a72e72a02e7,28-03-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:5cedd7cd-35f2-4368-a903-7a72e72a02e7,145,K207,K207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A38,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Once a year,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,709264943,7db88e75-4287-49d3-b884-59cdb89844aa,28-03-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:7db88e75-4287-49d3-b884-59cdb89844aa,146,H200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A38,,,,,,,,,,,,,Yes,1,0,0,2-5 inches,,,,,Once a year,,More than 6 months,,GBA (Previously known as BBMP) Ward Office,,,,,OK,,,,709265024,644c4c40-c9c1-430e-9e5b-003120978d07,28-03-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:644c4c40-c9c1-430e-9e5b-003120978d07,147,H200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"No, I do not feel safe. I will stop the audit at this point ",A38,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,709265026,d6ab81ba-8405-47a1-ac7e-9df7ab03a084,28-03-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:d6ab81ba-8405-47a1-ac7e-9df7ab03a084,148,H200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"No, I do not feel safe. I will stop the audit at this point ",A38,,,,,,,,,,,,,Yes,1,0,0,Cannot find info. ,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,709265030,6a64d381-b76f-43ab-892a-5ccbf7b7c2f4,28-03-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:6a64d381-b76f-43ab-892a-5ccbf7b7c2f4,149,H200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"No, I do not feel safe. I will stop the audit at this point ",A38,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,709265034,95eccc13-f6cc-488d-b6a3-3a6740f0f04d,28-03-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:95eccc13-f6cc-488d-b6a3-3a6740f0f04d,150,H200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A38,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Once a year,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,709266815,6109d914-36aa-4e0d-bda6-cca5c57de1d2,28-03-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:6109d914-36aa-4e0d-bda6-cca5c57de1d2,151,H200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A38,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Once a year,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,709266941,5d100056-c8b8-4849-b63c-75b6b4c90bce,28-03-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:5d100056-c8b8-4849-b63c-75b6b4c90bce,152,H200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2026,28-03-2026,,,"Yes, I feel safe to conduct audit",A38,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Once a year,,More than 6 months,,GBA SWD Dept. ,,,,,OK,,,,709267716,33786dcc-3c4f-4b63-8152-2361144ab181,28-03-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:33786dcc-3c4f-4b63-8152-2361144ab181,153,H200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-04-2026,04-04-2026,,,"Yes, I feel safe to conduct audit",A36,,,,,,,,,,,,,No,0,1,0,More than 10 inches,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,715286475,b2b52fa1-83f7-4f42-adaa-bd58ea01709a,04-04-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:b2b52fa1-83f7-4f42-adaa-bd58ea01709a,154,K207,K207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715286508,b1fa7fca-f578-4ff7-a591-fddc8725aed0,04-04-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:b1fa7fca-f578-4ff7-a591-fddc8725aed0,155
04-04-2026,04-04-2026,,,"Yes, I feel safe to conduct audit",A36,,,,,,,,,,,,,Yes,1,0,0,More than 10 inches,,,,,Do not know,,More than 6 months,,No one,,,,,OK,,,,715286508,b1fa7fca-f578-4ff7-a591-fddc8725aed0,04-04-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:b1fa7fca-f578-4ff7-a591-fddc8725aed0,155,K207,K207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-04-2026,08-04-2026,,,"Yes, I feel safe to conduct audit",A47,,,,,,,,,,,,,Cannot find info.,0,0,1,Cannot find info. ,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,719175639,ac384507-98cf-4855-8e7c-0d9f1ee127e2,08-04-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:ac384507-98cf-4855-8e7c-0d9f1ee127e2,156,V200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-04-2026,08-04-2026,,,"Yes, I feel safe to conduct audit",A47,,,,,,,,,,,,,Cannot find info.,0,0,1,Does not flood,,,,,Cannot find info.,,Cannot find info.,,Do not know,,,,,OK,,,,719175813,d454070b-fb66-4d44-8d96-7e559ded369f,08-04-2026,,,submitted_via_web,,vYpLhLP9QFCbxRTo2Cm3SK,,uuid:d454070b-fb66-4d44-8d96-7e559ded369f,157,V200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
